[Measurement conditions]
Sample identification,W1X1-1
Comment - 1,"Configuration=Chi-Phi-x-y-z stage, Owner=User-1, Creation date=2/8/2017 9:11:14 AM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-x-y-z stage 240 mm; Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Nathan Johnson\Ti64 Programs\Gonio_BBHD_Galipix[20-80].xrdmp, Identifier={F67B0DEB-5B12-4279-AED5-32372170C152}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,07/Feb/2018 09:43
Unit cell,
h k l, 0 0 0
Scan axis,2Theta-Omega
Scan range,20.011399996,80.000079494
Scan step size,0.0286479
Omega offset,0.00000000
No. of points, 2094
Scan type,CONTINUOUS
Phi,0.00
Psi,0.00
X,1.17
Y,2.42
Z,1.302
Time per step,50.100
[Scan points]
Angle,Intensity
20.025723940,577.0
20.054371829,653.0
20.083019718,604.0
20.111667607,569.0
20.140315496,636.0
20.168963385,609.0
20.197611274,637.0
20.226259163,565.0
20.254907052,607.0
20.283554941,634.0
20.312202830,615.0
20.340850719,604.0
20.369498608,622.0
20.398146497,559.0
20.426794386,543.0
20.455442275,604.0
20.484090163,584.0
20.512738052,509.0
20.541385941,575.0
20.570033830,614.0
20.598681719,578.0
20.627329608,581.0
20.655977497,574.0
20.684625386,563.0
20.713273275,573.0
20.741921164,527.0
20.770569053,549.0
20.799216942,547.0
20.827864831,547.0
20.856512720,580.0
20.885160609,552.0
20.913808498,558.0
20.942456387,590.0
20.971104276,566.0
20.999752165,551.0
21.028400054,588.0
21.057047943,499.0
21.085695832,536.0
21.114343721,581.0
21.142991610,537.0
21.171639499,545.0
21.200287388,570.0
21.228935277,514.0
21.257583166,473.0
21.286231055,572.0
21.314878944,517.0
21.343526833,528.0
21.372174721,502.0
21.400822610,477.0
21.429470499,517.0
21.458118388,495.0
21.486766277,551.0
21.515414166,508.0
21.544062055,517.0
21.572709944,519.0
21.601357833,480.0
21.630005722,507.0
21.658653611,529.0
21.687301500,463.0
21.715949389,498.0
21.744597278,498.0
21.773245167,479.0
21.801893056,515.0
21.830540945,469.0
21.859188834,487.0
21.887836723,462.0
21.916484612,447.0
21.945132501,435.0
21.973780390,448.0
22.002428279,498.0
22.031076168,406.0
22.059724057,453.0
22.088371946,473.0
22.117019835,508.0
22.145667724,505.0
22.174315613,475.0
22.202963502,441.0
22.231611391,450.0
22.260259280,464.0
22.288907168,467.0
22.317555057,442.0
22.346202946,480.0
22.374850835,424.0
22.403498724,453.0
22.432146613,454.0
22.460794502,425.0
22.489442391,389.0
22.518090280,447.0
22.546738169,461.0
22.575386058,463.0
22.604033947,437.0
22.632681836,417.0
22.661329725,416.0
22.689977614,435.0
22.718625503,479.0
22.747273392,438.0
22.775921281,431.0
22.804569170,445.0
22.833217059,415.0
22.861864948,437.0
22.890512837,422.0
22.919160726,389.0
22.947808615,414.0
22.976456504,428.0
23.005104393,460.0
23.033752282,395.0
23.062400171,361.0
23.091048060,384.0
23.119695949,391.0
23.148343838,397.0
23.176991726,417.0
23.205639615,379.0
23.234287504,412.0
23.262935393,424.0
23.291583282,409.0
23.320231171,406.0
23.348879060,413.0
23.377526949,422.0
23.406174838,430.0
23.434822727,376.0
23.463470616,408.0
23.492118505,397.0
23.520766394,426.0
23.549414283,383.0
23.578062172,393.0
23.606710061,366.0
23.635357950,379.0
23.664005839,375.0
23.692653728,341.0
23.721301617,411.0
23.749949506,406.0
23.778597395,372.0
23.807245284,356.0
23.835893173,416.0
23.864541062,367.0
23.893188951,390.0
23.921836840,388.0
23.950484729,369.0
23.979132618,376.0
24.007780507,361.0
24.036428396,367.0
24.065076284,343.0
24.093724173,351.0
24.122372062,367.0
24.151019951,354.0
24.179667840,358.0
24.208315729,345.0
24.236963618,365.0
24.265611507,330.0
24.294259396,356.0
24.322907285,333.0
24.351555174,329.0
24.380203063,363.0
24.408850952,342.0
24.437498841,326.0
24.466146730,347.0
24.494794619,340.0
24.523442508,368.0
24.552090397,345.0
24.580738286,346.0
24.609386175,336.0
24.638034064,352.0
24.666681953,341.0
24.695329842,319.0
24.723977731,343.0
24.752625620,341.0
24.781273509,336.0
24.809921398,349.0
24.838569287,311.0
24.867217176,329.0
24.895865065,373.0
24.924512954,331.0
24.953160842,334.0
24.981808731,326.0
25.010456620,319.0
25.039104509,312.0
25.067752398,351.0
25.096400287,329.0
25.125048176,314.0
25.153696065,319.0
25.182343954,306.0
25.210991843,330.0
25.239639732,318.0
25.268287621,328.0
25.296935510,314.0
25.325583399,298.0
25.354231288,295.0
25.382879177,291.0
25.411527066,271.0
25.440174955,305.0
25.468822844,328.0
25.497470733,296.0
25.526118622,323.0
